index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
53,259,1559,2,20,20,424,12,9,2,1,20,5,305,305,297,297,297,297,297,297,294,294,294,7.140983606557377,7.140983606557377,7.205387205387205,7.205387205387205,7.32996632996633,7.32996632996633,7.353535353535354,7.353535353535354,7.384353741496598,7.394557823129252,7.3231292517006805,53
54,130,843,1,5,5,1037,4,4,0,0,0,6,275,276,274,274,273,273,276,276,273,272,275,3.0254545454545454,3.0471014492753623,3.1605839416058394,3.335766423357664,3.6996336996337,3.6996336996337,3.7427536231884058,3.7427536231884058,3.956043956043956,3.9669117647058822,4.509090909090909,54
55,116,1153,2,13,10,582,5,1,3,1,5,9,280,284,281,280,278,278,276,276,277,269,269,5.135714285714286,5.22887323943662,5.241992882562277,5.464285714285714,5.514388489208633,6.014388489208633,6.449275362318841,7.3478260869565215,7.584837545126354,8.572490706319703,8.83271375464684,55
56,163,1306,2,16,8,499,9,5,3,1,10,6,359,359,355,355,353,355,353,353,354,352,349,5.718662952646239,5.818941504178273,5.842253521126761,5.842253521126761,5.881019830028329,6.225352112676056,6.56657223796034,6.796033994334278,6.966101694915254,7.448863636363637,7.630372492836676,56
57,663,590,2,3,2,664,4,2,1,1,5,14,29,29,32,32,32,31,32,31,33,35,36,9.413793103448276,9.413793103448276,9.40625,10.84375,12.5625,11.483870967741936,12.4375,12.774193548387096,12.0,12.514285714285714,13.333333333333334,57
58,403,644,1,3,0,382,7,6,0,1,10,14,124,124,125,119,119,117,117,115,115,121,121,9.07258064516129,9.07258064516129,9.008,9.403361344537815,9.529411764705882,10.034188034188034,10.128205128205128,11.373913043478261,11.11304347826087,11.801652892561984,11.917355371900827,58
59,116,1029,2,12,8,539,4,0,3,1,4,9,212,215,216,216,214,215,215,214,215,210,212,4.259433962264151,4.427906976744186,4.462962962962963,4.87037037037037,5.182242990654205,6.074418604651163,6.26046511627907,7.41588785046729,7.567441860465117,9.195238095238095,10.089622641509434,59
60,272,1520,2,20,16,436,7,3,3,1,15,9,224,225,220,220,220,220,220,220,217,216,217,7.397321428571429,7.417777777777777,7.513636363636364,7.504545454545455,7.654545454545454,7.713636363636364,7.745454545454545,7.827272727272727,7.8986175115207375,7.925925925925926,7.907834101382488,60
61,116,1017,2,10,8,609,5,1,3,1,4,9,216,219,219,219,219,220,220,219,219,212,213,4.1157407407407405,4.28310502283105,4.342465753424658,4.744292237442922,5.036529680365297,5.909090909090909,6.1,7.228310502283105,7.45662100456621,9.108490566037736,9.544600938967136,61
62,141,1069,2,13,7,568,6,1,4,1,6,9,282,286,282,281,279,279,277,277,278,272,272,4.897163120567376,4.993006993006993,4.99290780141844,5.213523131672598,5.261648745519714,5.759856630824372,6.191335740072202,7.086642599277979,7.323741007194244,8.294117647058824,8.551470588235293,62
63,650,1512,2,16,20,512,0,0,0,0,21,7,349,349,341,341,341,341,340,340,339,344,344,5.6017191977077365,5.724928366762177,5.736070381231672,5.733137829912024,5.841642228739003,5.870967741935484,5.8882352941176475,5.923529411764706,5.932153392330384,5.898255813953488,5.767441860465116,63
64,12,551,1,7,1,654,10,10,0,0,1,5,123,123,122,122,123,123,121,121,116,115,117,2.959349593495935,2.959349593495935,2.9508196721311477,2.9508196721311477,3.040650406504065,3.040650406504065,3.239669421487603,3.239669421487603,3.6120689655172415,3.6491228070175437,4.206896551724138,64
